Title|URL|Autore|Verificatore|Start date|End date|Size
pagina di errore 404|https://github.com/GroupRubberDuck/MVP/issues/71|Ana|-|2026-05-04|2026-05-14|-
pagina di errore per quando una pagina è bloccata|https://github.com/GroupRubberDuck/MVP/issues/72|Testolin|-|2026-05-04|-|-
Pagina dashboard valutazione|https://github.com/GroupRubberDuck/MVP/issues/73|Ana|-|2026-05-04|-|-
pagina aggiunta asset|https://github.com/GroupRubberDuck/MVP/issues/75|Testolin|-|2026-05-04|2026-05-14|-
pagina dettaglio asset|https://github.com/GroupRubberDuck/MVP/issues/76|Testolin|-|2026-05-04|2026-05-14|-
pagina modifica asset asset|https://github.com/GroupRubberDuck/MVP/issues/77|Lorenzon|-|2026-05-04|2026-05-14|-
pagina dettaglio requisito|https://github.com/GroupRubberDuck/MVP/issues/78|Lorenzon|-|2026-05-04|2026-05-14|-
decision tree|https://github.com/GroupRubberDuck/MVP/issues/79|Lorenzon|-|2026-05-04|-|-
compile node sidebar|https://github.com/GroupRubberDuck/MVP/issues/80|Lorenzon|-|2026-05-04|-|-
pinia store per il Decision tree|https://github.com/GroupRubberDuck/MVP/issues/81|Lorenzon|-|2026-05-04|-|-
FlaskDashboardController|https://github.com/GroupRubberDuck/MVP/issues/88|Testolin, Aldo|-|2026-05-04|2026-05-12|-
widget per l'inseriemnto della giustificazione|https://github.com/GroupRubberDuck/MVP/issues/130|Lorenzon|-|2026-05-11|-|-
Aggiungere stile al frontend|https://github.com/GroupRubberDuck/MVP/issues/132|Ana|-|2026-05-14|-|-
JSON Standard|https://github.com/GroupRubberDuck/MVP/issues/133|Ana|-|2026-05-14|-|-
Testare frontend|https://github.com/GroupRubberDuck/MVP/issues/134|Filippo|-|2026-05-14|-|-
Test di integrazione|https://github.com/GroupRubberDuck/MVP/issues/135|Filippo|-|2026-05-14|-|-
ST- sezione vista dati|https://github.com/GroupRubberDuck/Documentazione/issues/164|Ana|Aldo|2026-04-13|2026-05-13|M
Pdp- sprint 12|https://github.com/GroupRubberDuck/Documentazione/issues/186|Felix|Ana|2026-04-28|-|S
Verbale Interno 04/05|https://github.com/GroupRubberDuck/Documentazione/issues/190|Felix|Ana|2026-05-04|-|S
AdR- eliminare caso d'uso 24.4.5|https://github.com/GroupRubberDuck/Documentazione/issues/191|Aldo|Filippo|2026-05-04|-|S
Verbale Esterno 05/05|https://github.com/GroupRubberDuck/Documentazione/issues/192|Lorenzon|Filippo|2026-05-04|-|S
PdP - sprint 13|https://github.com/GroupRubberDuck/Documentazione/issues/193|Lorenzon|Testolin, Filippo|2026-05-10|-|S
Scrivere verbale interno 11-05-26|https://github.com/GroupRubberDuck/Documentazione/issues/194|Filippo||2026-05-11|-|S
Scrivere verbale esterno 12-05-26|https://github.com/GroupRubberDuck/Documentazione/issues/195|Lorenzon, Filippo||2026-05-11|-|S
Completare il manuale utente|https://github.com/GroupRubberDuck/Documentazione/issues/196|Testolin, Filippo||2026-05-11|-|M
Rivedere diagrammi delle classi ST|https://github.com/GroupRubberDuck/Documentazione/issues/197|Aldo||2026-05-11|2026-05-16|L
PdP - sprint 14|https://github.com/GroupRubberDuck/Documentazione/issues/198|Aldo, Filippo||2026-05-11|-|S
Diario di bordo 13-05-26|https://github.com/GroupRubberDuck/Documentazione/issues/199|Filippo|Filippo|2026-05-11|2026-05-18|S
Verifica e Validazione diagrammi delle classi|https://github.com/GroupRubberDuck/Documentazione/issues/200|Aldo||2026-05-14|-|L
Diagramma importazione|https://github.com/GroupRubberDuck/Documentazione/issues/201|Felix||2026-05-14|2026-05-16|M
Test PdQ|https://github.com/GroupRubberDuck/Documentazione/issues/202|Lorenzon||2026-05-14|-|M
Aggiornare il glossario|https://github.com/GroupRubberDuck/Documentazione/issues/203|Ana||2026-05-14|-|S
Aggiornare norme di progetto|https://github.com/GroupRubberDuck/Documentazione/issues/204|Aldo||2026-05-14|-|M
